vehicle_id,v2x_messages_transmitted,neighbor_vehicles,communication_success_rate,gps_consistency,sensor_signal_strength,speed,acceleration_variance,behavioral_consistency,label,latency_v2x_messages,packet_loss_rate,jitter,environmental_conditions,maneuver_type,distance_to_nearest_vehicle,battery_level,network_type,security_events_detected,vehicle_model,road_type,time_since_last_update
1,7370,42,84.31350304795434,0.8466693495377354,0.8485679029459046,61.5818568018411,4.88463699423351,0.7123247094866666,real,0.10958299146931942,3.206968844869995,0.0023965677780703023,rain,braking,385.83017301125216,51.96942184002286,other,0,Model_A,highway,663.199146310452
2,960,49,93.17770940465314,0.8205336401962973,0.8243194783844078,74.85884150546885,4.777865148707438,0.8041865422917093,real,0.10484270424531296,6.879918843257732,0.014235813043647362,fog,cruising,441.8270307307714,94.5370524805545,5G,0,Model_C,urban,2300.0654325704495
3,5490,28,87.87728811308317,0.9981545166699096,0.6376441067259301,60.273948474683074,4.020674155485172,0.7795685567508024,real,0.25352836633979153,1.5948066326707655,0.09550407114385238,rain,accelerating,182.07737650211442,71.26055957828376,4G,3,Model_A,rural,1616.3693337914528
4,5291,31,93.02465954082984,0.964094428644678,0.5781032843433109,71.96116758030075,1.2841287120140077,0.905827346183046,real,0.05262784749110888,6.3251302055408845,0.09291179500956609,snow,accelerating,305.491034970584,10.075804292954869,other,2,Model_A,highway,342.833295612079
5,5834,9,82.13186060615982,0.887021787447832,0.8179701634133554,119.65263087986192,0.4333828390491815,0.9846371493075754,fake,0.16385507263785867,8.530067102078181,0.015398038098358125,fog,lane_change,416.58194366187513,28.523179980790637,4G,3,Model_B,highway,1748.8530403628095
6,6365,29,93.15690609206072,0.8708132083546848,0.7996510580697189,33.52173137128547,1.6528302748310617,0.7804141562135913,real,0.17003790390863743,3.240734269907548,0.06958466886590041,fog,accelerating,149.77669918575103,83.82497901766298,4G,4,Model_C,rural,1541.457108908171
7,566,14,99.98827451541334,0.8861981439473752,0.5896780051446204,87.54560453364256,1.4072932922257713,0.9434397817455044,real,0.02821592611454233,8.700748436818577,0.0685948116916761,fog,braking,334.13281455756464,82.81895014356643,4G,2,Model_B,highway,2328.2845507520206
8,4526,40,80.96424077721112,0.76039363234673,0.8525695727852817,59.60009663856152,2.57903642071733,0.7166079450815228,real,0.2136026398200269,8.639491287628147,0.08648354711632546,clear,braking,200.83780094272453,21.251998218754913,5G,4,Model_D,urban,3439.8940775396773
9,5678,41,99.54348368442636,0.8185413229792955,0.7275859958668283,33.30097989073288,3.9108667593321855,0.861436303011944,real,0.3329717308889697,7.820706047072669,0.058896109834405935,fog,braking,90.11500757931911,48.46404385978808,other,4,Model_C,highway,31.294704142849604
10,8422,22,88.13815921445742,0.7118378598672698,0.8338802958015765,35.87367633743095,4.305782400506404,0.7211650191129684,real,0.14467713057299933,9.90636866246915,0.05217520830565473,fog,braking,49.33319277700959,20.0154817100407,4G,2,Model_B,highway,3069.99087805376
11,1785,11,97.41506900674518,0.842663811246048,0.9186835398850752,114.92731062456168,4.239834018511492,0.9802098973391916,real,0.2669313098275915,1.3356896138616137,0.040277075637301867,fog,lane_change,111.86556780989548,92.91695504396714,5G,1,Model_B,urban,2436.7796721677973
12,869,23,95.64770968116548,0.8629073751872989,0.5848642142884616,107.9601496711762,1.862410249993032,0.929905384167217,real,0.40869716611015094,6.665697772071024,0.07431758630145406,rain,lane_change,272.2653571679474,54.5132371786131,5G,2,Model_C,rural,3176.4359995232808
13,7049,1,91.34032521973336,0.7683249208309628,0.5095724339984183,110.7041960415022,3.4674482829573465,0.8973849733613777,real,0.3455114944269922,0.2069563694635268,0.00037961723279825724,fog,cruising,231.78403181715424,90.76243561754093,other,2,Model_D,rural,571.504773761882
14,2533,46,94.76898418502653,0.989208654149654,0.8895512931978934,119.15327758273864,1.6328875678686785,0.9471689144873991,real,0.3237088953193287,5.027978296276655,0.006531530187794621,snow,cruising,244.79604725964816,24.079541367414496,5G,2,Model_B,urban,735.228393288089
15,5411,37,97.57031122602696,0.9728363832811726,0.804848712576308,40.83153900085179,0.3984371618523953,0.8942559386710489,real,0.03266127774722266,4.508877744864382,0.03898981152899005,clear,accelerating,107.54289832241187,32.69554109505531,other,3,Model_A,urban,600.8750068633794
16,5151,21,88.08280643302066,0.9166429706367718,0.8498197848110609,55.543933736406174,3.5376698014544177,0.9906833191522874,real,0.3911712028976984,4.359307058879189,0.09189724353888241,rain,accelerating,60.03560398119284,64.28401594569473,4G,4,Model_C,urban,346.8645209595789
17,6520,26,86.54066323126477,0.8600159886296088,0.9190774874943212,86.92190299248666,0.1481550075919604,0.9141873843594316,real,0.20443371079458134,1.4531080664036722,0.08544963451949744,snow,cruising,188.10441509213888,66.76748807959902,4G,1,Model_A,highway,332.3826149825861
18,1284,46,93.3518677112717,0.9609907478943056,0.9014054674122502,68.38025398606473,2.104994678546594,0.977397582874674,real,0.09338512789343888,9.057693079631383,0.025322996244287667,clear,braking,421.9345575814852,80.37508750714373,other,1,Model_D,urban,3195.489641398429
19,4655,36,96.15691883882516,0.7391957031470389,0.9804600734644124,61.83895333783335,1.7139584195801714,0.8551395676031914,real,0.19652692822994805,5.7266835667216265,0.020556490750040624,rain,braking,388.13237635824987,73.84188515970371,other,3,Model_A,urban,3114.9910325558308
20,3485,23,95.24570269553232,0.9371529382824656,0.7679675394260591,55.781124933559305,3.4975499387423774,0.7351193238945588,real,0.24775766821414413,1.1717905109794413,0.04922731693015552,clear,braking,33.26617147780869,64.26916250360273,4G,3,Model_C,rural,214.37533961920388
21,6496,1,95.95627297717267,0.7374462441900544,0.7442478163299526,79.37806319434523,3.854602816525857,0.8584533164269051,real,0.3276351722924644,1.5153458639292117,0.016639945857134186,fog,braking,144.04684738028368,63.239535268079756,4G,3,Model_D,urban,1380.2746611445396
22,8766,40,88.71166629625866,0.9382631987648216,0.700943599945365,77.5593428640082,1.590063716259291,0.738061848418928,real,0.07529180667573795,9.02271204701876,0.091565671798458,snow,lane_change,483.4732287293063,16.1169512001041,other,3,Model_C,rural,80.13197649420567
23,9374,15,96.35668432350045,0.7827302704754071,0.5768455214221022,36.14578340642401,4.076972370779783,0.8777480437529215,real,0.2759247572661087,8.474095820538247,0.024981441730677435,rain,cruising,14.907120504425276,57.59666944358139,other,0,Model_C,highway,1527.7511528894092
